time,canicule,temperature_2m_mean,snowfall_sum,Commune,Departement,year,nb_days_snow
1950-01-01,0,11.169315068493152,18.06,Orléans,45,1950,
1951-01-01,0,10.662739726027398,1.75,Orléans,45,1951,
1952-01-01,1,10.816939890710383,28.56,Orléans,45,1952,
1953-01-01,0,10.926575342465751,13.44,Orléans,45,1953,
1954-01-01,0,10.360821917808218,8.89,Orléans,45,1954,
1955-01-01,0,10.768219178082193,22.05,Orléans,45,1955,
1956-01-01,0,9.610928961748634,19.95,Orléans,45,1956,
1957-01-01,0,11.146849315068494,2.59,Orléans,45,1957,
1958-01-01,0,10.7986301369863,18.69,Orléans,45,1958,
1959-01-01,0,12.202465753424656,7.42,Orléans,45,1959,
1960-01-01,0,11.086065573770492,10.29,Orléans,45,1960,
1961-01-01,0,12.013424657534246,2.31,Orléans,45,1961,
1962-01-01,0,9.94,25.41,Orléans,45,1962,
1963-01-01,0,9.691232876712329,12.46,Orléans,45,1963,
1964-01-01,1,10.853278688524592,19.88,Orléans,45,1964,
1965-01-01,0,10.335616438356164,10.64,Orléans,45,1965,
1966-01-01,0,11.047397260273971,8.61,Orléans,45,1966,
1967-01-01,0,10.843835616438357,3.43,Orléans,45,1967,
1968-01-01,0,10.390437158469943,22.33,Orléans,45,1968,
1969-01-01,0,10.663835616438355,23.31,Orléans,45,1969,
1970-01-01,0,10.627397260273971,36.96,Orléans,45,1970,
1971-01-01,0,10.557808219178082,14.14,Orléans,45,1971,
1972-01-01,0,10.249453551912568,7.7,Orléans,45,1972,
1973-01-01,0,10.55945205479452,11.9,Orléans,45,1973,
1974-01-01,0,10.962465753424658,6.3,Orléans,45,1974,
1975-01-01,0,10.59013698630137,12.11,Orléans,45,1975,
1976-01-01,0,11.423224043715846,6.65,Orléans,45,1976,
1977-01-01,0,10.694246575342468,0.77,Orléans,45,1977,
1978-01-01,0,10.226027397260276,30.94,Orléans,45,1978,
1979-01-01,0,10.207397260273972,32.69,Orléans,45,1979,
1980-01-01,0,10.03360655737705,18.48,Orléans,45,1980,
1981-01-01,0,10.686027397260274,21.42,Orléans,45,1981,
1982-01-01,0,11.56821917808219,3.29,Orléans,45,1982,
1983-01-01,0,11.228219178082192,8.82,Orléans,45,1983,
1984-01-01,0,10.728415300546448,8.82,Orléans,45,1984,
1985-01-01,0,9.947945205479453,31.78,Orléans,45,1985,
1986-01-01,0,10.27972602739726,29.89,Orléans,45,1986,
1987-01-01,0,10.164931506849314,27.72,Orléans,45,1987,
1988-01-01,0,11.520218579234973,4.55,Orléans,45,1988,
1989-01-01,0,12.058904109589042,0.21,Orléans,45,1989,
1990-01-01,3,12.373150684931506,4.2,Orléans,45,1990,
1991-01-01,0,10.87808219178082,7.56,Orléans,45,1991,
1992-01-01,1,11.296174863387977,0.56,Orléans,45,1992,
1993-01-01,0,10.967671232876713,5.88,Orléans,45,1993,
1994-01-01,0,12.301917808219178,4.48,Orléans,45,1994,
1995-01-01,0,11.826575342465754,4.2,Orléans,45,1995,
1996-01-01,0,10.656284153005464,19.81,Orléans,45,1996,
1997-01-01,0,11.712328767123289,6.72,Orléans,45,1997,
1998-01-01,2,11.295890410958904,3.22,Orléans,45,1998,
1999-01-01,0,11.938356164383562,16.169999999999998,Orléans,45,1999,
2000-01-01,0,11.78032786885246,0.84,Orléans,45,2000,
2001-01-01,0,11.33041095890411,4.34,Orléans,45,2001,
2002-01-01,0,12.038082191780822,0.28,Orléans,45,2002,
2003-01-01,10,12.337808219178084,11.06,Orléans,45,2003,
2004-01-01,0,11.496448087431691,16.17,Orléans,45,2004,
2005-01-01,0,11.755342465753424,23.52,Orléans,45,2005,
2006-01-01,3,12.202739726027398,14.84,Orléans,45,2006,
2007-01-01,0,11.76082191780822,1.05,Orléans,45,2007,
2008-01-01,0,11.239890710382516,6.720000000000001,Orléans,45,2008,
2009-01-01,0,11.718082191780825,14.42,Orléans,45,2009,
2010-01-01,0,10.585205479452055,45.29,Orléans,45,2010,
2011-01-01,0,12.70958904109589,0.07,Orléans,45,2011,
2012-01-01,2,11.550819672131148,7.210000000000001,Orléans,45,2012,
2013-01-01,0,11.172054794520548,24.08,Orléans,45,2013,
2014-01-01,0,12.367945205479453,0.07,Orléans,45,2014,
2015-01-01,2,12.432602739726027,2.38,Orléans,45,2015,
2016-01-01,1,11.796994535519126,2.17,Orléans,45,2016,
2017-01-01,3,12.125479452054796,4.69,Orléans,45,2017,
2018-01-01,2,12.85068493150685,21.7,Orléans,45,2018,
2019-01-01,6,12.596712328767124,9.17,Orléans,45,2019,
2020-01-01,3,13.110382513661202,1.05,Orléans,45,2020,
2021-01-01,0,11.576712328767124,14.21,Orléans,45,2021,
2022-01-01,2,13.123835616438356,2.1,Orléans,45,2022,
2023-01-01,0,13.015342465753426,3.3600000000000003,Orléans,45,2023,
2024-01-01,2,12.194535519125685,11.2,Orléans,45,2024,
2025-01-01,3,12.564931506849314,3.01,Orléans,45,2025,
1950-01-01,0,11.443835616438356,11.48,Blois,41,1950,
1951-01-01,0,10.803835616438356,1.47,Blois,41,1951,
1952-01-01,1,11.062295081967214,24.64,Blois,41,1952,
1953-01-01,0,11.150136986301373,16.24,Blois,41,1953,
1954-01-01,0,10.591506849315069,6.09,Blois,41,1954,
1955-01-01,0,11.032054794520548,18.55,Blois,41,1955,
1956-01-01,0,9.906010928961749,19.32,Blois,41,1956,
1957-01-01,0,11.429041095890412,0.49,Blois,41,1957,
1958-01-01,0,11.032328767123287,9.8,Blois,41,1958,
1959-01-01,0,12.498082191780822,10.43,Blois,41,1959,
1960-01-01,0,11.274863387978144,11.41,Blois,41,1960,
1961-01-01,0,12.23917808219178,0.77,Blois,41,1961,
1962-01-01,0,10.254794520547945,19.53,Blois,41,1962,
1963-01-01,0,9.925205479452057,14.91,Blois,41,1963,
1964-01-01,0,11.039890710382512,22.75,Blois,41,1964,
1965-01-01,0,10.59013698630137,11.9,Blois,41,1965,
1966-01-01,0,11.27068493150685,9.38,Blois,41,1966,
1967-01-01,0,11.048219178082192,7.56,Blois,41,1967,
1968-01-01,0,10.674590163934427,16.03,Blois,41,1968,
1969-01-01,0,10.97041095890411,18.55,Blois,41,1969,
1970-01-01,0,10.903835616438355,21.77,Blois,41,1970,
1971-01-01,0,10.802465753424658,14.84,Blois,41,1971,
1972-01-01,0,10.462841530054645,2.03,Blois,41,1972,
1973-01-01,0,10.793698630136983,9.17,Blois,41,1973,
1974-01-01,0,11.210958904109589,4.06,Blois,41,1974,
1975-01-01,0,10.853698630136986,12.11,Blois,41,1975,
1976-01-01,0,11.679234972677596,5.8100000000000005,Blois,41,1976,
1977-01-01,0,10.89972602739726,0.28,Blois,41,1977,
1978-01-01,0,10.53835616438356,21.98,Blois,41,1978,
1979-01-01,0,10.546575342465754,17.01,Blois,41,1979,
1980-01-01,0,10.219398907103823,18.13,Blois,41,1980,
1981-01-01,0,10.956438356164384,15.26,Blois,41,1981,
1982-01-01,0,11.827123287671233,2.59,Blois,41,1982,
1983-01-01,0,11.446849315068494,7.49,Blois,41,1983,
1984-01-01,0,11.009562841530055,4.41,Blois,41,1984,
1985-01-01,0,10.267123287671232,23.66,Blois,41,1985,
1986-01-01,0,10.53835616438356,25.41,Blois,41,1986,
1987-01-01,0,10.469041095890413,23.17,Blois,41,1987,
1988-01-01,0,11.723497267759564,3.15,Blois,41,1988,
1989-01-01,0,12.385479452054794,0.0,Blois,41,1989,
1990-01-01,3,12.683561643835615,2.1,Blois,41,1990,
1991-01-01,0,11.13013698630137,7.77,Blois,41,1991,
1992-01-01,1,11.52295081967213,0.0,Blois,41,1992,
1993-01-01,0,11.182739726027396,6.44,Blois,41,1993,
1994-01-01,0,12.539178082191782,3.01,Blois,41,1994,
1995-01-01,0,12.103835616438356,4.2,Blois,41,1995,
1996-01-01,0,11.01639344262295,17.08,Blois,41,1996,
1997-01-01,0,12.047397260273971,11.97,Blois,41,1997,
1998-01-01,2,11.516986301369862,2.17,Blois,41,1998,
1999-01-01,0,12.186301369863012,10.64,Blois,41,1999,
2000-01-01,0,12.005737704918031,0.07,Blois,41,2000,
2001-01-01,0,11.572876712328767,4.41,Blois,41,2001,
2002-01-01,0,12.234794520547943,0.0,Blois,41,2002,
2003-01-01,11,12.60986301369863,11.83,Blois,41,2003,
2004-01-01,0,11.773770491803278,10.22,Blois,41,2004,
2005-01-01,0,12.087397260273972,15.26,Blois,41,2005,
2006-01-01,2,12.413698630136986,16.52,Blois,41,2006,
2007-01-01,0,11.97917808219178,1.89,Blois,41,2007,
2008-01-01,0,11.409562841530054,4.48,Blois,41,2008,
2009-01-01,0,11.955068493150684,11.13,Blois,41,2009,
2010-01-01,0,10.856986301369863,29.47,Blois,41,2010,
2011-01-01,0,12.905479452054797,0.07,Blois,41,2011,
2012-01-01,1,11.726229508196722,8.4,Blois,41,2012,
2013-01-01,0,11.411506849315067,19.95,Blois,41,2013,
2014-01-01,0,12.590136986301369,0.0,Blois,41,2014,
2015-01-01,1,12.678082191780822,0.98,Blois,41,2015,
2016-01-01,0,12.060382513661205,3.57,Blois,41,2016,
2017-01-01,3,12.492876712328766,1.61,Blois,41,2017,
2018-01-01,0,13.033424657534246,18.76,Blois,41,2018,
2019-01-01,7,12.882191780821918,4.13,Blois,41,2019,
2020-01-01,0,13.297814207650273,0.21,Blois,41,2020,
2021-01-01,0,11.895068493150683,10.15,Blois,41,2021,
2022-01-01,2,13.50027397260274,2.31,Blois,41,2022,
2023-01-01,0,13.283561643835617,6.3,Blois,41,2023,
2024-01-01,1,12.447540983606558,5.95,Blois,41,2024,
2025-01-01,3,12.765753424657534,5.18,Blois,41,2025,
1950-01-01,1,13.455616438356165,60.34,Carcassonne,11,1950,
1951-01-01,0,12.51972602739726,36.68,Carcassonne,11,1951,
1952-01-01,0,13.50382513661202,30.52,Carcassonne,11,1952,
1953-01-01,0,12.932876712328769,43.89,Carcassonne,11,1953,
1954-01-01,0,12.249589041095891,61.53,Carcassonne,11,1954,
1955-01-01,0,13.866027397260275,16.24,Carcassonne,11,1955,
1956-01-01,0,11.676502732240438,52.29,Carcassonne,11,1956,
1957-01-01,0,12.624657534246577,18.48,Carcassonne,11,1957,
1958-01-01,0,13.073424657534249,35.21,Carcassonne,11,1958,
1959-01-01,0,13.48082191780822,10.64,Carcassonne,11,1959,
1960-01-01,0,12.91967213114754,70.0,Carcassonne,11,1960,
1961-01-01,0,14.10931506849315,4.97,Carcassonne,11,1961,
1962-01-01,0,12.929589041095891,20.09,Carcassonne,11,1962,
1963-01-01,0,12.003287671232876,31.08,Carcassonne,11,1963,
1964-01-01,0,13.052185792349729,19.88,Carcassonne,11,1964,
1965-01-01,0,12.62794520547945,24.71,Carcassonne,11,1965,
1966-01-01,0,13.22,12.25,Carcassonne,11,1966,
1967-01-01,0,13.154794520547943,30.1,Carcassonne,11,1967,
1968-01-01,0,13.0,21.56,Carcassonne,11,1968,
1969-01-01,0,12.491506849315067,26.74,Carcassonne,11,1969,
1970-01-01,0,12.936986301369863,56.35,Carcassonne,11,1970,
1971-01-01,0,12.733150684931507,29.4,Carcassonne,11,1971,
1972-01-01,0,12.41639344262295,15.89,Carcassonne,11,1972,
1973-01-01,0,12.675342465753424,28.84,Carcassonne,11,1973,
1974-01-01,0,12.517808219178082,22.05,Carcassonne,11,1974,
1975-01-01,0,12.748493150684933,27.93,Carcassonne,11,1975,
1976-01-01,0,12.939617486338795,14.49,Carcassonne,11,1976,
1977-01-01,0,12.735342465753424,31.92,Carcassonne,11,1977,
1978-01-01,0,12.475342465753425,65.8,Carcassonne,11,1978,
1979-01-01,0,12.687397260273972,19.25,Carcassonne,11,1979,
1980-01-01,0,11.967759562841527,61.95,Carcassonne,11,1980,
1981-01-01,0,12.95945205479452,48.370000000000005,Carcassonne,11,1981,
1982-01-01,2,13.534520547945206,19.39,Carcassonne,11,1982,
1983-01-01,0,13.310958904109588,35.56,Carcassonne,11,1983,
1984-01-01,0,12.480601092896174,12.74,Carcassonne,11,1984,
1985-01-01,0,12.657260273972602,30.24,Carcassonne,11,1985,
1986-01-01,0,13.215068493150683,54.74,Carcassonne,11,1986,
1987-01-01,1,13.135068493150683,39.27,Carcassonne,11,1987,
1988-01-01,0,13.416939890710385,16.66,Carcassonne,11,1988,
1989-01-01,0,14.438356164383562,3.08,Carcassonne,11,1989,
1990-01-01,0,14.01972602739726,13.65,Carcassonne,11,1990,
1991-01-01,0,13.026027397260274,12.18,Carcassonne,11,1991,
1992-01-01,0,12.87295081967213,39.2,Carcassonne,11,1992,
1993-01-01,0,12.981643835616438,23.73,Carcassonne,11,1993,
1994-01-01,0,14.023013698630136,19.11,Carcassonne,11,1994,
1995-01-01,0,13.72,5.95,Carcassonne,11,1995,
1996-01-01,0,13.172677595628414,29.19,Carcassonne,11,1996,
1997-01-01,0,14.43808219178082,14.7,Carcassonne,11,1997,
1998-01-01,0,13.30794520547945,6.51,Carcassonne,11,1998,
1999-01-01,0,13.550684931506847,25.13,Carcassonne,11,1999,
2000-01-01,0,13.5224043715847,5.180000000000001,Carcassonne,11,2000,
2001-01-01,0,13.554246575342466,19.88,Carcassonne,11,2001,
2002-01-01,0,13.785479452054794,3.78,Carcassonne,11,2002,
2003-01-01,5,14.536986301369865,31.36,Carcassonne,11,2003,
2004-01-01,1,13.458196721311475,22.96,Carcassonne,11,2004,
2005-01-01,0,13.0586301369863,34.51,Carcassonne,11,2005,
2006-01-01,1,14.293424657534247,20.23,Carcassonne,11,2006,
2007-01-01,0,13.365479452054794,15.4,Carcassonne,11,2007,
2008-01-01,0,13.402732240437157,25.83,Carcassonne,11,2008,
2009-01-01,0,14.017808219178082,22.89,Carcassonne,11,2009,
2010-01-01,1,12.94,65.59,Carcassonne,11,2010,
2011-01-01,0,14.587123287671233,2.17,Carcassonne,11,2011,
2012-01-01,1,13.783333333333331,12.95,Carcassonne,11,2012,
2013-01-01,0,13.10082191780822,52.57,Carcassonne,11,2013,
2014-01-01,0,14.28164383561644,11.34,Carcassonne,11,2014,
2015-01-01,0,14.165479452054791,24.22,Carcassonne,11,2015,
2016-01-01,0,14.357377049180329,7.91,Carcassonne,11,2016,
2017-01-01,0,14.613698630136986,7.700000000000001,Carcassonne,11,2017,
2018-01-01,3,15.11013698630137,5.18,Carcassonne,11,2018,
2019-01-01,3,14.873424657534247,0.14,Carcassonne,11,2019,
2020-01-01,1,15.14590163934426,0.14,Carcassonne,11,2020,
2021-01-01,1,14.543287671232877,3.71,Carcassonne,11,2021,
2022-01-01,6,16.198082191780824,2.7300000000000004,Carcassonne,11,2022,
2023-01-01,7,15.793698630136983,11.69,Carcassonne,11,2023,
2024-01-01,3,15.380601092896176,0.0,Carcassonne,11,2024,
2025-01-01,16,15.981917808219178,0.49,Carcassonne,11,2025,
1950-01-01,0,11.115616438356165,4.0600000000000005,Saint-Lô,50,1950,
1951-01-01,0,11.007671232876714,3.78,Saint-Lô,50,1951,
