dep,smin,smax
1,20,35
2,18,33
3,18,34
4,19,36
5,18,34
6,24,31
7,20,35
8,18,33
9,19,34
10,18,35
11,22,35
12,19,36
13,24,35
14,18,31
15,18,32
16,20,36
17,20,35
18,19,35
19,19,36
21,19,34
22,18,31
23,20,34
24,20,36
25,19,33
26,21,36
27,19,34
28,18,34
29,19,32
2A,23,33
2B,23,33
30,23,36
31,21,36
32,20,36
33,21,35
34,22,35
35,19,34
36,19,35
37,19,35
38,19,34
39,20,34
40,20,35
41,19,35
42,19,35
43,17,33
44,20,34
45,19,34
46,20,36
47,20,36
48,18,33
49,19,34
50,18,31
51,18,34
52,19,34
53,19,34
54,18,34
55,18,34
56,19,32
57,19,34
58,19,34
59,18,33
60,18,34
61,18,34
62,18,33
63,19,34
64,20,34
65,19,34
66,23,35
67,19,34
68,19,35
69,20,34
70,18,34
71,20,34
72,20,35
73,19,34
74,19,34
75,21,31
76,19,33
77,18,34
78,20,33
79,20,35
80,18,33
81,21,36
82,21,36
83,23,35
84,26,31
85,20,34
86,19,35
87,20,34
88,18,34
89,19,35
90,18,33
91,20,35
92,21,31
93,21,31
94,21,31
95,20,35
